date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
2023-02-01,9175.0,9202.0,74375.0
2023-01-31,9075.0,9105.0,75225.0
2023-01-30,9227.0,9258.0,76100.0
2023-01-27,9345.5,9365.0,73975.0
2023-01-26,9288.5,9320.0,75900.0
2023-01-25,9258.0,9289.0,77100.0
2023-01-24,9308.0,9335.0,78150.0
2023-01-23,9340.5,9360.0,78300.0
2023-01-20,9232.0,9246.0,80025.0
2023-01-19,9190.0,9194.5,81600.0
2023-01-18,9436.0,9430.0,81925.0
2023-01-17,9114.0,9124.0,83325.0
2023-01-16,9145.5,9174.0,83600.0
2023-01-13,9107.0,9131.0,83850.0
2023-01-12,9071.5,9090.0,84550.0
2023-01-11,8987.0,8995.0,84800.0
2023-01-10,8766.5,8795.0,84775.0
2023-01-09,8722.0,8746.0,85150.0
2023-01-06,8362.5,8387.0,86400.0
2023-01-05,8420.0,8438.0,87775.0
2023-01-04,8209.0,8237.0,88575.0
2023-01-03,8390.0,8408.0,88550.0
2022-12-30,8387.0,8400.0,88925.0
2022-12-29,8395.0,8405.0,86025.0
2022-12-28,8451.0,8471.0,81400.0
2022-12-23,8308.5,8326.0,81475.0
2022-12-22,8345.5,8365.0,81100.0
2022-12-21,8327.0,8355.0,81350.0
2022-12-20,8302.0,8326.0,82600.0
2022-12-19,8331.0,8366.0,83575.0
2022-12-16,8231.5,8276.0,84100.0
2022-12-15,8383.0,8422.0,83725.0
2022-12-14,8415.0,8457.0,85525.0
2022-12-13,8381.0,8433.0,81875.0
2022-12-12,8371.5,8415.0,84300.0
2022-12-09,8490.5,8525.0,85425.0
2022-12-08,8537.0,8547.0,87375.0
2022-12-07,8334.0,8375.0,88475.0
2022-12-06,8355.5,8400.0,86375.0
2022-12-05,8440.0,8470.0,86725.0
2022-12-02,8342.0,8364.0,87450.0
2022-12-01,8216.5,8251.0,88275.0
2022-11-30,8198.0,8205.0,89700.0
2022-11-29,8035.5,8055.0,90900.0
2022-11-28,7966.0,7985.0,91200.0
2022-11-25,8070.0,8104.0,90750.0
