date,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2015-01-13,14780.0,14855.0,416436.0
2015-01-12,14955.0,15040.0,414732.0
2015-01-09,15435.0,15510.0,415164.0
2015-01-08,15330.0,15405.0,415842.0
2015-01-07,15455.0,15540.0,415812.0
2015-01-06,15285.0,15325.0,415338.0
2015-01-05,14585.0,14660.0,414756.0
2015-01-02,14880.0,15000.0,414900.0
2014-12-31,14935.0,15025.0,413148.0
2014-12-30,14855.0,14950.0,412704.0
2014-12-29,15110.0,15185.0,410808.0
2014-12-24,15275.0,15310.0,410880.0
2014-12-23,15380.0,15460.0,408990.0
2014-12-22,15630.0,15705.0,408408.0
2014-12-19,15350.0,15400.0,406812.0
2014-12-18,15505.0,15525.0,406722.0
2014-12-17,15430.0,15500.0,406854.0
2014-12-16,16130.0,16275.0,405174.0
2014-12-15,16660.0,16720.0,405186.0
2014-12-12,16335.0,16425.0,405294.0
2014-12-11,16150.0,16230.0,406524.0
2014-12-10,16425.0,16500.0,407568.0
2014-12-09,16255.0,16330.0,406248.0
2014-12-08,16555.0,16675.0,406410.0
2014-12-05,16825.0,16875.0,407370.0
2014-12-04,16780.0,16850.0,406992.0
2014-12-03,16325.0,16400.0,407646.0
2014-12-02,16175.0,16250.0,405570.0
2014-12-01,16205.0,16275.0,404766.0
2014-11-28,16090.0,16160.0,404496.0
2014-11-27,16325.0,16400.0,401850.0
2014-11-26,16230.0,16310.0,399996.0
2014-11-25,16455.0,16535.0,398064.0
2014-11-24,16535.0,16605.0,397236.0
2014-11-21,16450.0,16505.0,394770.0
2014-11-20,16175.0,16250.0,393324.0
2014-11-19,15850.0,15905.0,390432.0
2014-11-18,15650.0,15705.0,390198.0
2014-11-17,15600.0,15660.0,389766.0
2014-11-14,15320.0,15375.0,389370.0
2014-11-13,15520.0,15625.0,389136.0
2014-11-12,15535.0,15600.0,388776.0
2014-11-11,15090.0,15160.0,388896.0
2014-11-10,15070.0,15150.0,389334.0
2014-11-07,15265.0,15340.0,387222.0
2014-11-06,15255.0,15340.0,386118.0
2014-11-05,14980.0,15030.0,385860.0
2014-11-04,15155.0,15235.0,385860.0
2014-11-03,15575.0,15680.0,385314.0
2014-10-31,15815.0,15900.0,383442.0
2014-10-30,15325.0,15400.0,381762.0
2014-10-29,15585.0,15625.0,380946.0
2014-10-28,15055.0,15135.0,378864.0
2014-10-27,14650.0,14800.0,378222.0
2014-10-24,15005.0,15075.0,378132.0
2014-10-23,14950.0,15025.0,377538.0
2014-10-22,15220.0,15300.0,377010.0
2014-10-21,15225.0,15310.0,377136.0
2014-10-20,15315.0,15390.0,376506.0
2014-10-17,15505.0,15600.0,375492.0
2014-10-16,15315.0,15400.0,374562.0
2014-10-15,16135.0,16230.0,374934.0
2014-10-14,16180.0,16290.0,373110.0
2014-10-13,16390.0,16500.0,368364.0
2014-10-10,16310.0,16400.0,367134.0
2014-10-09,16630.0,16710.0,365148.0
2014-10-08,16700.0,16755.0,364530.0
2014-10-07,16750.0,16835.0,364248.0
2014-10-06,16485.0,16615.0,364332.0
2014-10-03,16270.0,16310.0,363102.0
2014-10-02,16050.0,16115.0,359166.0
2014-10-01,15855.0,15965.0,358374.0
2014-09-30,16505.0,16600.0,356040.0
2014-09-29,16510.0,16565.0,353340.0
2014-09-26,17280.0,17380.0,347970.0
2014-09-25,17210.0,17315.0,344796.0
2014-09-24,17200.0,17260.0,343284.0
2014-09-23,17135.0,17250.0,341364.0
2014-09-22,17075.0,17175.0,339036.0
2014-09-19,17755.0,17830.0,339042.0
2014-09-18,17885.0,17940.0,339288.0
2014-09-17,17920.0,18005.0,337992.0
2014-09-16,17905.0,18010.0,337044.0
2014-09-15,18255.0,18350.0,334842.0
2014-09-12,18345.0,18420.0,333834.0
2014-09-11,18460.0,18575.0,332460.0
2014-09-10,18550.0,18650.0,331980.0
2014-09-09,19360.0,19500.0,332142.0
2014-09-08,19740.0,19775.0,332034.0
2014-09-05,19385.0,19455.0,331992.0
2014-09-04,19235.0,19350.0,330720.0
2014-09-03,18820.0,18885.0,331068.0
2014-09-02,18555.0,18670.0,330630.0
2014-09-01,18660.0,18820.0,328860.0
2014-08-29,18455.0,18575.0,329136.0
2014-08-28,18650.0,18755.0,326922.0
2014-08-27,18635.0,18730.0,326466.0
2014-08-26,18805.0,18890.0,326220.0
2014-08-22,18625.0,18725.0,325788.0
2014-08-21,18730.0,18870.0,324714.0
2014-08-20,18780.0,18875.0,324840.0
2014-08-19,18550.0,18585.0,324678.0
2014-08-18,18420.0,18475.0,324984.0
2014-08-15,18505.0,18555.0,322728.0
2014-08-14,18535.0,18625.0,320754.0
2014-08-13,18580.0,18700.0,320448.0
2014-08-12,18850.0,18955.0,319590.0
2014-08-11,18495.0,18575.0,318750.0
2014-08-08,18620.0,18680.0,318798.0
2014-08-07,18860.0,18980.0,318114.0
2014-08-06,18275.0,18400.0,317874.0
2014-08-05,18490.0,18575.0,317772.0
2014-08-04,18375.0,18500.0,317544.0
2014-08-01,18280.0,18375.0,317628.0
2014-07-31,18765.0,18800.0,315798.0
2014-07-30,18680.0,18825.0,314400.0
2014-07-29,18525.0,18595.0,312720.0
2014-07-28,18800.0,18850.0,311802.0
2014-07-25,19160.0,19230.0,312156.0
2014-07-24,19080.0,19175.0,311964.0
2014-07-23,18960.0,19065.0,310716.0
2014-07-22,18925.0,19000.0,311214.0
2014-07-21,18725.0,18900.0,311064.0
2014-07-18,18505.0,18610.0,311088.0
2014-07-17,19080.0,19175.0,310782.0
2014-07-16,19200.0,19300.0,308418.0
2014-07-15,19260.0,19330.0,308322.0
2014-07-14,19210.0,19325.0,307710.0
2014-07-11,19065.0,19160.0,307350.0
2014-07-10,18975.0,19050.0,307410.0
2014-07-09,19515.0,19625.0,306828.0
2014-07-08,19440.0,19550.0,305280.0
2014-07-07,19180.0,19300.0,305394.0
2014-07-04,19385.0,19475.0,304536.0
2014-07-03,19795.0,19850.0,304938.0
2014-07-02,19080.0,19175.0,305394.0
2014-07-01,18850.0,18930.0,305256.0
2014-06-30,18715.0,18800.0,304890.0
2014-06-27,18765.0,18850.0,305790.0
2014-06-26,18625.0,18720.0,305556.0
2014-06-25,18280.0,18355.0,305862.0
2014-06-24,18150.0,18270.0,305388.0
2014-06-23,18420.0,18525.0,304602.0
2014-06-20,18350.0,18480.0,305310.0
2014-06-19,18460.0,18510.0,305352.0
2014-06-18,18660.0,18730.0,305970.0
2014-06-17,18930.0,19050.0,286728.0
2014-06-16,18315.0,18400.0,286668.0
2014-06-13,17950.0,18100.0,286710.0
2014-06-12,18030.0,18100.0,286482.0
2014-06-11,18350.0,18425.0,286752.0
2014-06-10,18455.0,18550.0,286626.0
2014-06-09,18760.0,18835.0,284712.0
2014-06-06,18465.0,18520.0,283992.0
2014-06-05,19005.0,19100.0,284316.0
2014-06-04,18950.0,18970.0,283752.0
2014-06-03,19005.0,19105.0,283986.0
2014-06-02,19405.0,19435.0,284112.0
2014-05-30,19310.0,19280.0,284436.0
2014-05-29,18750.0,18825.0,283662.0
2014-05-28,19515.0,19500.0,280524.0
2014-05-27,19650.0,19660.0,280308.0
2014-05-23,19620.0,19625.0,280404.0
2014-05-22,19670.0,19660.0,279672.0
2014-05-21,19405.0,19475.0,280020.0
2014-05-20,19680.0,19650.0,279138.0
2014-05-19,19785.0,19790.0,279816.0
2014-05-16,19155.0,19200.0,279816.0
2014-05-15,18750.0,18650.0,279336.0
2014-05-14,20650.0,20725.0,278868.0
2014-05-13,21200.0,21100.0,278994.0
2014-05-12,20850.0,20850.0,278772.0
2014-05-09,20105.0,20130.0,278130.0
2014-05-08,19390.0,19410.0,277968.0
2014-05-07,18580.0,18625.0,278436.0
2014-05-06,18460.0,18525.0,279516.0
2014-05-02,18200.0,18230.0,279528.0
2014-05-01,18070.0,18070.0,279876.0
2014-04-30,18200.0,18255.0,276846.0
2014-04-29,18230.0,18325.0,277056.0
2014-04-28,18550.0,18585.0,277638.0
2014-04-25,18465.0,18450.0,277734.0
2014-04-24,18430.0,18470.0,277056.0
2014-04-23,18120.0,18185.0,276888.0
2014-04-22,18230.0,18300.0,277716.0
2014-04-17,17985.0,18000.0,277434.0
2014-04-16,17880.0,17940.0,277248.0
2014-04-15,17280.0,17350.0,278514.0
2014-04-14,17735.0,17770.0,279966.0
2014-04-11,17395.0,17445.0,276936.0
2014-04-10,17050.0,17140.0,278844.0
2014-04-09,16500.0,16505.0,280002.0
2014-04-08,16410.0,16445.0,281598.0
2014-04-07,16470.0,16500.0,281010.0
2014-04-04,16515.0,16575.0,281946.0
2014-04-03,16145.0,16200.0,282936.0
2014-04-02,16130.0,16175.0,283680.0
2014-04-01,15780.0,15830.0,283956.0
2014-03-31,15735.0,15770.0,284694.0
2014-03-28,15770.0,15805.0,285462.0
2014-03-27,15670.0,15710.0,286674.0
2014-03-26,15960.0,16050.0,285210.0
2014-03-25,16225.0,16300.0,283632.0
2014-03-24,16135.0,16170.0,283524.0
2014-03-21,15990.0,16010.0,283578.0
2014-03-20,15910.0,15930.0,283434.0
2014-03-19,16115.0,16145.0,271296.0
2014-03-18,16075.0,16125.0,270930.0
2014-03-17,15865.0,15960.0,270810.0
2014-03-14,15805.0,15865.0,271014.0
2014-03-13,15730.0,15775.0,270636.0
2014-03-12,15670.0,15705.0,269886.0
2014-03-11,15635.0,15675.0,270714.0
2014-03-10,15135.0,15170.0,271200.0
2014-03-07,15330.0,15340.0,270624.0
2014-03-06,15455.0,15490.0,269370.0
2014-03-05,15305.0,15335.0,270366.0
2014-03-04,14830.0,14865.0,270930.0
2014-03-03,14510.0,14530.0,271128.0
2014-02-28,14550.0,14595.0,270618.0
2014-02-27,14185.0,14215.0,270696.0
2014-02-26,14285.0,14325.0,270882.0
