,date,close,volume
444,2021-11-08,4.399,59.793
445,2021-11-05,4.343,65.146
446,2021-11-04,4.3205,69.382
447,2021-11-03,4.321,75.015
448,2021-11-02,4.366,52.499
449,2021-11-01,4.3935,49.151
450,2021-10-29,4.368,66.973
451,2021-10-28,4.4385,65.898
452,2021-10-27,4.3895,69.638
453,2021-10-26,4.486,57.047
454,2021-10-25,4.528,53.337
455,2021-10-22,4.498,87.878
456,2021-10-21,4.5585,80.807
457,2021-10-20,4.7345,70.338
458,2021-10-19,4.703,72.101
459,2021-10-18,4.7255,74.885
460,2021-10-15,4.7295,93.125
461,2021-10-14,4.6315,89.65
462,2021-10-13,4.516,103.062
463,2021-10-12,4.3255,63.865
464,2021-10-11,4.3665,59.676
465,2021-10-08,4.2755,50.987
466,2021-10-07,4.2435,40.595
467,2021-10-06,4.1475,47.065
468,2021-10-05,4.1925,40.322
469,2021-10-04,4.2385,44.659
470,2021-10-01,4.1885,50.664
471,2021-09-30,4.089,69.254
472,2021-09-29,4.199,46.156
473,2021-09-28,4.2465,50.728
474,2021-09-27,4.2895,47.947
475,2021-09-24,4.2855,58.107
476,2021-09-23,4.231,48.034
477,2021-09-22,4.252,66.758
478,2021-09-21,4.126,71.707
479,2021-09-20,4.1145,63.747
480,2021-09-17,4.246,53.072
481,2021-09-16,4.2815,57.951
482,2021-09-15,4.4065,53.363
483,2021-09-14,4.321,49.999
484,2021-09-13,4.367,68.664
485,2021-09-10,4.452,84.03
486,2021-09-09,4.2855,41.688
487,2021-09-08,4.233,50.295
488,2021-09-07,4.2815,56.305
489,2021-09-03,4.334,43.857
490,2021-09-02,4.304,38.603
491,2021-09-01,4.278,51.755
492,2021-08-31,4.375,56.497
493,2021-08-30,4.3755,41.015
494,2021-08-27,4.332,57.776
495,2021-08-26,4.2595,41.509
496,2021-08-25,4.276,35.352
497,2021-08-24,4.2605,37.557
498,2021-08-23,4.221,35.348
499,2021-08-20,4.123,41.015
500,2021-08-19,4.0435,49.841
501,2021-08-18,4.12,37.495
502,2021-08-17,4.2045,39.15
503,2021-08-16,4.3215,28.408
504,2021-08-13,4.3915,49.864
505,2021-08-12,4.36,56.267
506,2021-08-11,4.3675,50.396
507,2021-08-10,4.354,59.725
508,2021-08-09,4.2895,68.269
509,2021-08-06,4.336,66.211
510,2021-08-05,4.348,41.288
511,2021-08-04,4.3325,54.465
512,2021-08-03,4.386,68.602
513,2021-08-02,4.433,63.524
514,2021-07-30,4.4825,64.477
515,2021-07-29,4.5235,57.103
516,2021-07-28,4.482,78.378
517,2021-07-27,4.5445,84.485
518,2021-07-26,4.585,104.489
519,2021-07-23,4.4,87.07
520,2021-07-22,4.3375,56.558
521,2021-07-21,4.272,50.709
522,2021-07-20,4.263,62.378
523,2021-07-19,4.2015,98.035
524,2021-07-16,4.306,44.788
525,2021-07-15,4.323,65.79
526,2021-07-14,4.2675,50.86
527,2021-07-13,4.307,61.42
528,2021-07-12,4.316,55.185
529,2021-07-09,4.3455,80.656
530,2021-07-08,4.2645,71.175
531,2021-07-07,4.3225,80.201
532,2021-07-06,4.251,146.316
533,2021-07-02,4.276,52.408
534,2021-07-01,4.236,69.776
535,2021-06-30,4.289,69.374
536,2021-06-29,4.2645,67.882
537,2021-06-28,4.2785,44.607
538,2021-06-25,4.2895,41.239
539,2021-06-24,4.305,38.402
