LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2206.0,2204.0,52.95
2222.5,2215.0,49.625
2217.5,2212.0,49.625
2200.0,2187.5,49.775
2219.0,2200.0,49.775
2235.5,2220.0,49.9
2256.0,2243.5,50.175
2270.0,2254.0,50.275
2293.0,2279.0,50.35
2354.5,2339.0,50.425
2386.0,2373.0,50.55
2466.5,2450.0,50.7
2455.0,2432.5,50.9
2461.0,2440.0,51.125
2434.0,2416.0,51.45
2438.0,2417.0,51.575
2390.0,2373.0,51.65
2364.0,2354.5,51.8
2366.5,2354.0,50.975
2382.0,2370.5,51.2
2419.0,2406.5,51.375
2406.0,2386.0,50.175
2346.0,2337.0,50.5
2335.0,2320.0,50.775
2284.0,2271.0,51.125
2299.0,2290.5,51.2
