LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock
7778.5,7783.5,76.25
7895.0,7900.5,77.175
7957.0,7961.5,79.275
7984.5,7990.0,82.125
7872.0,7882.0,87.725
8051.0,8059.5,91.15
8014.5,8017.5,93.95
7986.5,7992.0,96.325
7972.5,7984.0,97.675
7979.5,7989.5,99.95
8002.5,8016.0,101.25
7960.5,7970.5,102.55
7983.0,7991.5,103.75
7951.5,7967.0,104.95
8146.0,8160.0,102.425
8036.5,8048.0,104.325
8129.5,8127.5,105.425
7914.0,7922.5,105.425
7918.5,7931.0,105.8
7741.5,7757.0,107.95
7803.5,7815.5,110.875
7840.0,7854.0,113.975
7793.0,7811.5,116.1
7764.5,7784.5,119.375
7753.0,7777.0,119.6
7838.5,7858.5,122.975
7964.0,7984.5,123.4
7893.0,7914.0,127.725
7823.0,7847.5,133.125
7753.0,7775.5,141.9
7763.0,7787.0,144.775
7741.0,7760.0,146.325
7712.0,7729.5,147.825
7704.5,7723.5,149.575
7635.0,7647.5,149.625
7656.5,7672.0,150.125
7741.5,7748.5,149.675
7679.0,7682.0,149.325
7616.5,7623.0,149.675
7644.0,7649.0,149.925
7674.5,7681.0,149.8
7462.0,7476.5,150.775
7356.5,7370.5,152.025
7238.5,7257.5,153.175
7302.0,7314.0,154.825
7215.5,7233.5,156.075
7178.5,7195.0,157.35
7028.0,7046.5,159.475
7083.0,7101.5,160.2
7050.0,7071.0,161.7
7113.0,7128.5,163.025
6926.0,6943.5,165.2
6904.0,6921.5,166.2
6912.5,6934.0,167.825
6865.5,6882.0,169.575
7034.0,7045.0,171.125
6938.5,6946.5,172.45
6798.0,6808.0,174.05
6748.0,6760.0,176.65
6791.5,6801.0,169.4
6712.5,6725.0,169.6
6694.5,6706.0,171.3
6692.0,6708.0,172.625
6694.5,6713.5,174.9
6787.5,6807.5,177.075
6806.0,6824.5,178.725
6879.5,6897.5,180.3
6886.0,6901.5,180.625
6953.0,6964.5,181.65
6814.0,6836.5,183.175
6755.0,6773.5,183.9
6728.0,6740.5,184.85
6683.5,6698.0,168.875
6702.0,6715.5,169.925
6699.5,6705.5,153.2
6769.0,6770.5,152.975
6740.5,6741.0,153.925
6611.5,6622.5,154.75
6525.0,6538.0,155.4
6509.0,6528.0,156.125
6507.5,6519.5,160.875
6409.5,6418.5,161.975
6614.0,6628.0,163.125
6610.0,6612.0,165.6
6546.0,6558.0,136.325
6571.5,6584.5,103.125
6529.0,6523.0,73.625
6538.5,6534.0,76.325
6725.5,6707.0,77.275
6810.0,6784.0,78.3
6837.0,6804.5,78.425
6833.5,6801.0,78.9
6761.0,6737.5,78.75
6776.0,6757.0,78.9
6813.5,6800.5,78.55
6788.0,6762.0,74.875
6757.5,6729.0,75.55
6710.5,6684.5,75.975
6709.0,6681.0,73.425
6767.5,6736.0,76.55
6790.5,6772.0,77.55
6678.0,6655.0,82.45
6613.0,6604.0,84.65
6719.0,6705.0,84.975
6788.5,6768.0,88.25
6728.0,6702.0,89.35
6602.5,6575.0,90.775
6603.5,6584.0,92.025
6544.5,6525.0,95.525
6579.5,6559.5,97.9
6564.5,6542.0,103.475
6594.5,6584.5,104.425
6667.0,6648.0,106.225
6492.5,6486.5,107.525
6439.5,6428.0,110.0
6342.5,6334.0,113.2
6380.0,6373.5,113.875
6379.0,6380.5,114.575
6356.5,6361.0,114.625
