LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
13070.0,13108.0,234.672
13425.0,13478.0,234.672
13415.0,13465.0,234.654
13231.0,13286.0,234.216
13242.0,13308.0,234.216
13040.0,13089.0,234.264
12823.0,12873.0,234.312
12555.0,12620.0,233.526
12790.0,12837.0,233.898
12684.0,12723.0,233.658
12709.0,12751.0,233.97
12386.0,12437.0,233.586
12510.0,12577.0,233.562
12541.0,12592.0,233.562
12625.0,12692.0,233.238
12855.0,12921.0,233.238
12760.0,12818.0,233.274
12900.0,12948.0,233.298
12930.0,12974.0,233.118
12503.0,12575.0,232.878
12733.0,12795.0,232.878
12615.0,12681.0,232.41
12881.0,12952.0,232.41
12804.0,12879.0,232.11
12943.0,13010.0,232.11
12785.0,12857.0,232.41
12608.0,12671.0,232.806
12812.0,12885.0,232.806
12680.0,12751.0,232.812
12418.0,12485.0,233.496
12120.0,12192.0,233.178
12133.0,12200.0,233.502
12144.0,12210.0,234.198
12260.0,12348.0,234.198
12124.0,12199.0,233.85
12762.0,12827.0,233.874
12335.0,12408.0,233.874
12300.0,12349.0,233.97
11950.0,12036.0,233.64
11807.0,11874.0,233.844
12084.0,12157.0,233.604
12200.0,12275.0,233.31
12275.0,12332.0,233.31
12188.0,12256.0,233.046
12247.0,12313.0,233.034
12199.0,12273.0,233.304
11805.0,11854.0,233.304
11785.0,11864.0,230.634
11853.0,11916.0,230.712
12134.0,12207.0,231.156
12135.0,12209.0,231.156
12251.0,12327.0,231.132
12256.0,12320.0,231.132
12073.0,12144.0,230.664
12010.0,12089.0,230.352
11895.0,11966.0,230.358
12085.0,12156.0,230.016
12255.0,12334.0,230.19
11887.0,11967.0,230.304
11657.0,11726.0,230.064
11712.0,11795.0,228.966
11723.0,11803.0,229.038
11457.0,11523.0,229.062
11425.0,11497.0,229.062
11350.0,11409.0,228.606
11162.0,11217.0,228.606
11192.0,11257.0,228.768
11185.0,11252.0,228.768
11220.0,11288.0,228.768
11235.0,11298.0,229.812
11280.0,11339.0,230.172
11225.0,11282.0,229.488
11221.0,11288.0,229.518
11175.0,11251.0,229.638
11075.0,11162.0,230.22
11055.0,11142.0,230.544
11370.0,11450.0,230.724
11235.0,11340.0,230.76
11420.0,11510.0,231.48
11830.0,11910.0,232.074
11775.0,11810.0,233.682
12565.0,12620.0,234.384
11855.0,11900.0,234.378
12435.0,12485.0,234.666
12835.0,12890.0,234.486
12415.0,12465.0,235.068
12710.0,12745.0,236.106
12800.0,12815.0,235.95
12700.0,12805.0,235.404
12555.0,12650.0,235.254
12440.0,12510.0,235.368
12160.0,12250.0,235.428
12280.0,12365.0,229.86
12290.0,12365.0,230.196
12540.0,12625.0,230.256
12360.0,12465.0,228.924
12440.0,12530.0,224.7
12685.0,12790.0,224.766
12700.0,12780.0,220.926
12880.0,12960.0,218.214
13070.0,13080.0,215.802
13035.0,13150.0,212.094
13065.0,13130.0,210.066
13050.0,13140.0,209.742
13100.0,13150.0,208.722
12880.0,12970.0,204.078
12770.0,12855.0,203.946
13010.0,13080.0,200.424
13005.0,13075.0,200.454
12800.0,12875.0,200.94
12750.0,12850.0,196.854
12675.0,12760.0,195.942
12535.0,12625.0,194.568
12630.0,12720.0,194.526
12740.0,12830.0,192.324
12650.0,12745.0,192.468
12990.0,13060.0,192.762
13300.0,13375.0,192.912
13645.0,13750.0,187.914
13750.0,13840.0,186.324
13845.0,13920.0,187.782
13840.0,13910.0,182.934
14290.0,14370.0,183.012
13950.0,14050.0,178.584
13680.0,13770.0,177.6
14190.0,14280.0,173.502
14050.0,14140.0,171.066
14125.0,14200.0,167.91
13810.0,13900.0,166.098
13860.0,13940.0,161.436
13795.0,13830.0,159.45
13740.0,13810.0,156.378
14075.0,14165.0,153.318
