index,LME Aluminium Cash-Settlement,LME Aluminium 3-month,LME Aluminium stock
2012-07-21,1874.8333333333,2062.0,4838.45
2012-07-22,1855.1666666667,2054.5,4844.475
2012-07-23,1835.5,2070.0,4850.5
2012-07-24,1840.0,2080.5,4845.4
2012-07-25,1847.0,2081.0,4840.675
2012-07-26,1865.5,2109.5,4835.05
2012-07-27,1860.0,2105.6666666667,4840.625
2012-07-28,1857.1666666667,2101.8333333333,4840.4666666667
2012-07-29,1854.3333333333,2098.0,4840.3083333333
2012-07-30,1851.5,2107.0,4840.15
2012-07-31,1862.5,2108.0,4886.725
2012-08-01,1844.0,2088.5,4878.425
2012-08-02,1821.0,2088.5,4870.9
2012-08-03,1806.5,2082.25,4864.45
2012-08-04,1814.0,2076.0,4869.775
2012-08-05,1821.5,2069.75,4875.1
2012-08-06,1829.0,2063.5,4880.425
2012-08-07,1863.5,2027.0,4874.65
2012-08-08,1873.0,2046.0,4868.85
2012-08-09,1866.0,2031.5,4863.2
2012-08-10,1835.0,2028.3333333333,4860.95
2012-08-11,1831.3333333333,2025.1666666667,4863.2083333333
2012-08-12,1827.6666666667,2022.0,4865.4666666667
2012-08-13,1824.0,2021.0,4867.725
2012-08-14,1813.0,2034.5,4896.725
2012-08-15,1803.5,2034.0,4891.8
2012-08-16,1793.5,2056.5,4893.175
2012-08-17,1810.5,2052.8333333333,4919.925
2012-08-18,1806.6666666667,2049.1666666667,4918.0083333333
2012-08-19,1802.8333333333,2045.5,4916.0916666667
2012-08-20,1799.0,2038.5,4914.175
2012-08-21,1821.0,2015.5,4909.95
2012-08-22,1829.0,2008.5,4912.35
2012-08-23,1861.5,2019.5,4913.05
2012-08-24,1871.5,2020.3333333333,4904.025
2012-08-25,1874.375,2021.1666666667,4901.3625
2012-08-26,1877.25,2022.0,4898.7
2012-08-27,1880.125,2020.0,4896.0375
2012-08-28,1883.0,1997.0,4893.375
2012-08-29,1873.0,2014.0,4889.65
2012-08-30,1868.0,1979.5,4878.95
2012-08-31,1849.0,1980.6,4870.05
2012-09-01,1859.3333333333,1981.7,4875.0166666667
2012-09-02,1869.6666666667,1982.8,4879.9833333333
2012-09-03,1880.0,1983.9,4884.95
2012-09-04,1927.5,1985.0,4878.475
2012-09-05,1928.0,1986.5,4874.625
2012-09-06,1963.0,1973.5,4866.4
2012-09-07,1988.0,1976.3333333333,4871.425
2012-09-08,2002.6666666667,1979.1666666667,4870.925
2012-09-09,2017.3333333333,1982.0,4870.425
2012-09-10,2032.0,1965.5,4869.925
2012-09-11,2058.0,1962.0,4862.825
2012-09-12,2074.5,1965.0,4854.325
2012-09-13,2082.0,1951.5,4971.325
2012-09-14,2177.0,1941.5,5008.975
2012-09-15,2172.0,1931.5,5011.8916666667
2012-09-16,2167.0,1921.5,5014.8083333333
2012-09-17,2162.0,1920.5,5017.725
2012-09-18,2153.0,1920.5,5078.75
2012-09-19,2124.0,1883.5,5078.175
2012-09-20,2096.0,1864.5,5080.0
2012-09-21,2093.5,1862.6666666667,5085.85
2012-09-22,2082.0,1860.8333333333,5084.2166666667
2012-09-23,2070.5,1859.0,5082.5833333333
2012-09-24,2059.0,1851.5,5080.95
2012-09-25,2069.0,1849.5,5080.725
2012-09-26,2049.0,1872.5,5071.8
2012-09-27,2068.0,1867.5,5064.25
2012-09-28,2094.0,1879.0,5055.85
2012-09-29,2085.5,1890.5,5053.825
2012-09-30,2077.0,1902.0,5051.8
2012-10-01,2068.5,1949.0,5049.775
2012-10-02,2104.0,1966.0,5059.1
2012-10-03,2070.0,1948.0,5049.1
2012-10-04,2088.0,1920.0,5040.325
2012-10-05,2087.5,1914.5,5033.0
2012-10-06,2073.8333333333,1909.0,5030.1166666667
2012-10-07,2060.1666666667,1903.5,5027.2333333333
2012-10-08,2046.5,1923.5,5024.35
2012-10-09,2040.5,1907.5,5034.0
2012-10-10,1992.0,1871.0,5025.775
2012-10-11,1992.5,1892.0,5047.275
2012-10-12,1975.5,1892.3333333333,5069.575
2012-10-13,1967.0,1892.6666666667,5068.0333333333
2012-10-14,1958.5,1893.0,5066.4916666667
2012-10-15,1950.0,1917.5,5064.95
2012-10-16,1931.0,1895.5,5065.8
2012-10-17,1932.5,1934.5,5058.25
